,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
487,monk_scale,scale 5,5,0.022618446,scale 7,mac_hybrid_200_2048_1e-05
488,fitz_type,type iv,3,0.8867923,type iv,mac_hybrid_200_2048_1e-05
489,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
490,age,adult,0,0.9999528,adult,mac_hybrid_200_2048_1e-05
491,hair_type,curly,1,0.3648376,straight,mac_hybrid_200_2048_1e-05
492,hair_color,black,0,0.999713,black,mac_hybrid_200_2048_1e-05
493,eye_color,black,1,0.30041957,brown,mac_hybrid_200_2048_1e-05
494,monk_scale,scale 5,5,0.29293105,scale 6,mac_hybrid_200_2048_1e-05
495,fitz_type,type iv,3,0.11305416,type v,mac_hybrid_200_2048_1e-05
496,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
497,age,adult,0,0.99992,adult,mac_hybrid_200_2048_1e-05
498,hair_type,curly,1,0.44174063,curly,mac_hybrid_200_2048_1e-05
499,hair_color,black,0,0.98850703,black,mac_hybrid_200_2048_1e-05
500,eye_color,black,1,0.55881536,black,mac_hybrid_200_2048_1e-05
501,monk_scale,scale 5,5,0.8710627,scale 5,mac_hybrid_200_2048_1e-05
502,fitz_type,type iv,3,0.80437756,type iv,mac_hybrid_200_2048_1e-05
503,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
504,age,adult,0,0.97932726,adult,mac_hybrid_200_2048_1e-05
505,hair_type,curly,1,0.5196744,curly,mac_hybrid_200_2048_1e-05
506,hair_color,black,0,0.9745515,black,mac_hybrid_200_2048_1e-05
507,eye_color,black,1,0.7649362,black,mac_hybrid_200_2048_1e-05
508,monk_scale,scale 5,5,0.13254613,scale 6,mac_hybrid_200_2048_1e-05
509,fitz_type,type iv,3,0.15711157,type v,mac_hybrid_200_2048_1e-05
510,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
511,age,adult,0,0.99986446,adult,mac_hybrid_200_2048_1e-05
512,hair_type,curly,1,0.14024708,coily,mac_hybrid_200_2048_1e-05
513,hair_color,black,0,0.9626584,black,mac_hybrid_200_2048_1e-05
514,eye_color,black,1,0.97562134,black,mac_hybrid_200_2048_1e-05
515,monk_scale,scale 5,5,0.26188365,scale 6,mac_hybrid_200_2048_1e-05
516,fitz_type,type iv,3,0.05543324,type v,mac_hybrid_200_2048_1e-05
517,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
518,age,adult,0,0.99986005,adult,mac_hybrid_200_2048_1e-05
519,hair_type,curly,1,0.936297,curly,mac_hybrid_200_2048_1e-05
520,hair_color,black,0,0.9994423,black,mac_hybrid_200_2048_1e-05
521,eye_color,black,1,0.74601054,black,mac_hybrid_200_2048_1e-05
522,monk_scale,scale 5,5,0.012135564,scale 8,mac_hybrid_200_2048_1e-05
523,fitz_type,type iv,3,0.6889478,type iv,mac_hybrid_200_2048_1e-05
524,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
525,age,adult,0,0.99976796,adult,mac_hybrid_200_2048_1e-05
526,hair_type,curly,1,0.05629793,straight,mac_hybrid_200_2048_1e-05
527,hair_color,black,0,0.97898346,black,mac_hybrid_200_2048_1e-05
528,eye_color,black,1,0.8986136,black,mac_hybrid_200_2048_1e-05
529,monk_scale,scale 5,5,0.27773255,scale 7,mac_hybrid_200_2048_1e-05
530,fitz_type,type iv,3,0.8776022,type iv,mac_hybrid_200_2048_1e-05
531,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
532,age,adult,0,0.9916372,adult,mac_hybrid_200_2048_1e-05
533,hair_type,curly,1,0.7578593,curly,mac_hybrid_200_2048_1e-05
534,hair_color,black,0,0.9965888,black,mac_hybrid_200_2048_1e-05
535,eye_color,black,1,0.9880581,black,mac_hybrid_200_2048_1e-05
536,monk_scale,scale 5,5,0.06188004,scale 6,mac_hybrid_200_2048_1e-05
537,fitz_type,type iv,3,0.575449,type iv,mac_hybrid_200_2048_1e-05
538,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
539,age,adult,0,0.9878007,adult,mac_hybrid_200_2048_1e-05
540,hair_type,curly,1,0.8077202,curly,mac_hybrid_200_2048_1e-05
541,hair_color,black,0,0.9989963,black,mac_hybrid_200_2048_1e-05
542,eye_color,black,1,0.95831287,black,mac_hybrid_200_2048_1e-05
543,monk_scale,scale 5,5,0.29722932,scale 6,mac_hybrid_200_2048_1e-05
544,fitz_type,type iv,3,0.53530556,type iv,mac_hybrid_200_2048_1e-05
545,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
546,age,adult,0,0.99969983,adult,mac_hybrid_200_2048_1e-05
547,hair_type,curly,1,0.7721854,curly,mac_hybrid_200_2048_1e-05
548,hair_color,black,0,0.99699116,black,mac_hybrid_200_2048_1e-05
549,eye_color,black,1,0.7603821,black,mac_hybrid_200_2048_1e-05
550,monk_scale,scale 5,5,0.48270163,scale 5,mac_hybrid_200_2048_1e-05
551,fitz_type,type iv,3,0.015957598,type v,mac_hybrid_200_2048_1e-05
552,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
553,age,adult,0,0.9931846,adult,mac_hybrid_200_2048_1e-05
554,hair_type,curly,1,0.25654995,coily,mac_hybrid_200_2048_1e-05
555,hair_color,black,0,0.99491185,black,mac_hybrid_200_2048_1e-05
556,eye_color,black,1,0.66127634,black,mac_hybrid_200_2048_1e-05
557,monk_scale,scale 5,5,0.7476817,scale 5,mac_hybrid_200_2048_1e-05
558,fitz_type,type iv,3,0.46456814,type v,mac_hybrid_200_2048_1e-05
559,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
560,age,adult,0,0.99763477,adult,mac_hybrid_200_2048_1e-05
561,hair_type,curly,1,0.16910125,wavy,mac_hybrid_200_2048_1e-05
562,hair_color,black,0,0.9934602,black,mac_hybrid_200_2048_1e-05
563,eye_color,black,1,0.989498,black,mac_hybrid_200_2048_1e-05
564,monk_scale,scale 5,5,0.6657296,scale 5,mac_hybrid_200_2048_1e-05
565,fitz_type,type iv,3,0.5988006,type iv,mac_hybrid_200_2048_1e-05
566,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
567,age,adult,0,0.99980277,adult,mac_hybrid_200_2048_1e-05
568,hair_type,curly,1,0.063630365,straight,mac_hybrid_200_2048_1e-05
569,hair_color,black,0,0.99915636,black,mac_hybrid_200_2048_1e-05
570,eye_color,black,1,0.9056391,black,mac_hybrid_200_2048_1e-05
571,monk_scale,scale 5,5,0.063491814,scale 8,mac_hybrid_200_2048_1e-05
572,fitz_type,type iv,3,0.9660622,type iv,mac_hybrid_200_2048_1e-05
573,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
574,age,adult,0,0.99474674,adult,mac_hybrid_200_2048_1e-05
575,hair_type,curly,1,0.15259811,wavy,mac_hybrid_200_2048_1e-05
576,hair_color,black,0,0.9792833,black,mac_hybrid_200_2048_1e-05
577,eye_color,black,1,0.9267126,black,mac_hybrid_200_2048_1e-05
578,monk_scale,scale 5,5,0.066741094,scale 7,mac_hybrid_200_2048_1e-05
579,fitz_type,type iv,3,0.15174335,type v,mac_hybrid_200_2048_1e-05
580,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
581,age,adult,0,0.9979773,adult,mac_hybrid_200_2048_1e-05
582,hair_type,curly,1,0.6227165,curly,mac_hybrid_200_2048_1e-05
583,hair_color,black,0,0.99554527,black,mac_hybrid_200_2048_1e-05
584,eye_color,black,1,0.9814533,black,mac_hybrid_200_2048_1e-05
585,monk_scale,scale 5,5,0.81123924,scale 5,mac_hybrid_200_2048_1e-05
